#	LayerTable			
#	ID		PosArr	LayerCount
#	int		Vector3[]	int
#		备注	每层所有小猫的位置	每层小猫数量
	1	完整层（行排列）	[-3,3,0],[-1.5,3,0],[0,3,0],[1.5,3,0],[3,3,0],[-3,1.5,0],[-1.5,1.5,0],[0,1.5,0],[1.5,1.5,0],[3,1.5,0],[-3,0,0],[-1.5,0,0],[0,0,0],[1.5,0,0],[3,0,0],[-3,-1.5,0],[-1.5,-1.5,0],[0,-1.5,0],[1.5,-1.5,0],[3,-1.5,0],[-3,-3,0],[-1.5,-3,0],[0,-3,0],[1.5,-3,0],[3,-3,0]	25
	2	完整行，第1行	[-3,3,0],[-1.5,3,0],[0,3,0],[1.5,3,0],[3,3,0]	5
	3	完整行，第2行	[-3,1.5,0],[-1.5,1.5,0],[0,1.5,0],[1.5,1.5,0],[3,1.5,0]	5
	4	完整行，第3行	[-3,0,0],[-1.5,0,0],[0,0,0],[1.5,0,0],[3,0,0]	5
	5	完整行，第4行	[-3,-1.5,0],[-1.5,-1.5,0],[0,-1.5,0],[1.5,-1.5,0],[3,-1.5,0]	5
	6	完整行，第5行	[-3,-3,0],[-1.5,-3,0],[0,-3,0],[1.5,-3,0],[3,-3,0]	5
	7	完整列，第1列	[-3,3,0],[-3,1.5,0],[-3,0,0],[-3,-1.5,0],[-3,-3,0]	5
	8	完整列，第2列	[-1.5,3,0],[-1.5,1.5,0],[-1.5,0,0],[-1.5,-1.5,0],[-1.5,-3,0]	5
	9	完整列，第3列	[0,-3,0],[0,3,0],[0,1.5,0],[0,0,0],[0,-1.5,0]	5
	10	完整列，第4列	[1.5,3,0],[1.5,1.5,0],[1.5,0,0],[1.5,-1.5,0],[1.5,-3,0]	5
	11	完整列，第5列	[3,3,0],[3,1.5,0],[3,0,0],[3,-1.5,0],[3,-3,0]	5
	12	x偏移半格，完成层	[-2.25,3,0],[-0.75,3,0],[0.75,3,0],[2.25,3,0],[-2.25,1.5,0],[-0.75,1.5,0],[0.75,1.5,0],[2.25,1.5,0],[-2.25,0,0],[-0.75,0,0],[0.75,0,0],[2.25,0,0],[-2.25,-1.5,0],[-0.75,-1.5,0],[0.75,-1.5,0],[2.25,-1.5,0],[-2.25,-3,0],[-0.75,-3,0],[0.75,-3,0],[2.25,-3,0]	20
	13	x偏移半格，第1行	[-2.25,3,0],[-0.75,3,0],[0.75,3,0],[2.25,3,0]	4
	14	x偏移半格，第2行	[-2.25,1.5,0],[-0.75,1.5,0],[0.75,1.5,0],[2.25,1.5,0]	4
	15	x偏移半格，第3行	[-2.25,0,0],[-0.75,0,0],[0.75,0,0],[2.25,0,0]	4
	16	x偏移半格，第4行	[-2.25,-1.5,0],[-0.75,-1.5,0],[0.75,-1.5,0],[2.25,-1.5,0]	4
	17	x偏移半格，第5行	[-2.25,-3,0],[-0.75,-3,0],[0.75,-3,0],[2.25,-3,0]	4
	18	x/y偏移半格，完整层	[-2.25,2.25,0],[-0.75,2.25,0],[0.75,2.25,0],[2.25,2.25,0],[-2.25,0.75,0],[-0.75,0.75,0],[0.75,0.75,0],[2.25,0.75,0],[-2.25,-0.75,0],[-0.75,-0.75,0],[0.75,-0.75,0],[2.25,-0.75,0],[-2.25,-2.25,0],[-0.75,-2.25,0],[0.75,-2.25,0],[2.25,-2.25,0]	16
	19	x/y偏移半格，第1行	[-2.25,2.25,0],[-0.75,2.25,0],[0.75,2.25,0],[2.25,2.25,0]	4
	20	x/y偏移半格，第2行	[-2.25,0.75,0],[-0.75,0.75,0],[0.75,0.75,0],[2.25,0.75,0]	4
	21	x/y偏移半格，第3行	[-2.25,-0.75,0],[-0.75,-0.75,0],[0.75,-0.75,0],[2.25,-0.75,0]	4
	22	x/y偏移半格，第4行	[-2.25,-2.25,0],[-0.75,-2.25,0],[0.75,-2.25,0],[2.25,-2.25,0]	4
	23	居中十字	[-3,0,0],[-1.5,0,0],[0,0,0],[1.5,0,0],[3,0,0],[0,-3,0],[0,3,0],[0,1.5,0],[0,-1.5,0]	9
	24	双对角线	[-3,3,0],[3,3,0],[-1.5,1.5,0],[1.5,1.5,0],[0,0,0],[-1.5,-1.5,0],[1.5,-1.5,0],[-3,-3,0],[3,-3,0]	9
